customer_id,segment_name,recency,frequency,monetary,R,F,M,RFM_Total,ticket_count,neg_ticket_rate,return_rate,avg_discount,sessions_30d,last_visit_days_ago,campaign_clicks_30d,loyalty_tier,churn_next_60d
CUST00025,High-Value but Unhappy,165,7,4868.86,1,5,5,11,3.0,0.6666666666666666,0.0,0.31142857142857144,11,29,1,,1
CUST00026,Loyal Customers,72,3,3561.3900000000003,3,3,4,10,1.0,1.0,0.3333333333333333,0.16333333333333333,14,26,0,,0
CUST00027,Needs Nurturing,70,1,2128.34,3,1,3,7,1.0,1.0,1.0,0.3,11,18,2,,0
CUST00028,Needs Nurturing,83,2,1489.7800000000002,3,2,2,7,1.0,0.0,0.0,0.19,1,19,0,,0
CUST00029,Champions,18,8,5252.9,5,5,5,15,0.0,0.0,0.0,0.23374999999999999,1,0,0,,0
CUST00030,Champions,5,6,3435.5899999999997,5,5,4,14,2.0,1.0,0.0,0.34,11,3,0,Gold,0
CUST00031,New Customers,49,1,672.95,3,1,1,5,0.0,0.0,0.0,0.24,6,9,0,,1
CUST00032,Loyal Customers,33,3,1948.75,4,3,3,10,0.0,0.0,0.0,0.3666666666666667,12,13,0,Silver,0
CUST00033,Loyal Customers,12,4,2128.09,5,3,3,11,2.0,1.0,0.5,0.405,7,7,0,Gold,0
CUST00034,Loyal Customers,50,6,3353.01,3,5,4,12,3.0,0.3333333333333333,0.0,0.26166666666666666,7,0,2,Gold,0
CUST00035,At Risk,127,3,1369.71,2,3,2,7,0.0,0.0,0.0,0.24333333333333332,6,25,0,Silver,1
CUST00036,Loyal Customers,27,4,1737.33,4,3,3,10,1.0,1.0,0.25,0.365,0,14,0,Silver,1
CUST00037,Needs Nurturing,102,1,435.83,2,1,1,4,0.0,0.0,0.0,0.43,5,28,0,,0
CUST00038,Needs Nurturing,51,4,2104.61,3,3,3,9,1.0,0.0,0.0,0.355,5,14,0,,0
CUST00039,Loyal Customers,15,3,1598.49,5,3,3,11,0.0,0.0,0.0,0.2966666666666667,6,4,1,,0
CUST00040,Dormant,154,1,634.73,1,1,1,3,1.0,0.0,0.0,0.38,1,42,0,,1
CUST00041,Needs Nurturing,54,4,1911.8600000000001,3,3,3,9,1.0,1.0,0.0,0.3475,5,22,2,Silver,1
CUST00042,High-Value but Unhappy,87,9,7523.74,2,5,5,12,6.0,0.8333333333333334,0.2222222222222222,0.21888888888888888,3,14,2,Silver,0
CUST00043,New Customers,24,1,363.01,4,1,1,6,0.0,0.0,0.0,0.43,3,0,0,Gold,0
CUST00044,Loyal Customers,72,3,2724.09,3,3,4,10,1.0,1.0,0.0,0.38666666666666666,6,10,2,,0
CUST00045,Needs Nurturing,96,1,413.75,2,1,1,4,0.0,0.0,0.0,0.33,6,10,1,,1
CUST00046,Needs Nurturing,127,1,489.87,2,1,1,4,0.0,0.0,0.0,0.13,7,29,0,Gold,1
CUST00047,Dormant,204,1,764.43,1,1,1,3,0.0,0.0,0.0,0.16,2,36,1,Gold,1
CUST00048,Needs Nurturing,61,4,2450.45,3,3,3,9,1.0,1.0,0.25,0.3125,12,12,0,Silver,0
CUST00049,Discount Sensitive,8,1,380.83,5,1,1,7,0.0,0.0,0.0,0.47,4,0,1,,0
CUST00050,Loyal Customers,0,3,2466.39,5,3,3,11,1.0,1.0,0.3333333333333333,0.3333333333333333,3,0,1,Gold,0
CUST00051,High-Value but Unhappy,210,4,4444.3,1,3,5,9,2.0,1.0,0.0,0.3525,6,35,2,,1
CUST00052,Loyal Customers,55,3,2807.14,3,3,4,10,1.0,1.0,0.3333333333333333,0.21,7,8,0,Silver,1
CUST00053,Loyal Customers,25,4,4192.59,4,3,5,12,2.0,1.0,0.0,0.395,9,5,1,Silver,0
CUST00054,New Customers,6,1,489.85,5,1,1,7,0.0,0.0,0.0,0.25,3,0,0,,0
CUST00055,Loyal Customers,3,3,1308.35,5,3,2,10,1.0,1.0,0.0,0.24666666666666667,6,0,2,,0
CUST00056,Loyal Customers,9,4,3530.41,5,3,4,12,1.0,1.0,0.0,0.28500000000000003,3,0,0,,0
CUST00057,At Risk,136,2,2510.83,2,2,3,7,0.0,0.0,0.0,0.245,7,29,1,,1
CUST00058,Loyal Customers,42,4,2451.54,4,3,3,10,0.0,0.0,0.0,0.23249999999999998,2,6,4,,0
CUST00059,Loyal Customers,2,3,2852.63,5,3,4,12,0.0,0.0,0.0,0.32666666666666666,3,2,0,Silver,0
CUST00060,Needs Nurturing,145,1,293.22,2,1,1,4,0.0,0.0,0.0,0.36,5,20,0,,1
CUST00061,Loyal Customers,14,4,1966.0900000000001,5,3,3,11,1.0,1.0,0.0,0.41,4,15,1,,0
CUST00062,Loyal Customers,21,4,2805.19,4,3,4,11,1.0,1.0,0.0,0.2525,9,0,1,Silver,0
CUST00063,Dormant,216,1,397.69,1,1,1,3,1.0,1.0,0.0,0.22,0,24,0,,1
CUST00064,New Customers,2,1,654.93,5,1,1,7,0.0,0.0,0.0,0.43,8,0,0,,0
CUST00065,New Customers,6,1,1911.67,5,1,3,9,0.0,0.0,0.0,0.0,3,0,2,,0
CUST00066,High-Value but Unhappy,320,5,4598.95,1,4,5,10,1.0,1.0,0.0,0.292,11,60,1,,1
CUST00067,Needs Nurturing,63,2,1246.44,3,2,2,7,1.0,1.0,0.5,0.19999999999999998,1,5,2,Silver,1
CUST00068,At Risk,346,3,2123.66,1,3,3,7,1.0,1.0,0.3333333333333333,0.24333333333333332,5,60,1,Silver,1
CUST00069,Needs Nurturing,29,2,874.47,4,2,2,8,0.0,0.0,0.0,0.225,9,0,1,,1
CUST00070,New Customers,38,1,542.98,4,1,1,6,0.0,0.0,0.0,0.34,1,18,0,Gold,1
CUST00071,New Customers,32,1,2062.5,4,1,3,8,1.0,1.0,0.0,0.08,1,12,2,,1
CUST00072,At Risk,90,4,2587.02,2,3,4,9,0.0,0.0,0.0,0.1925,7,26,1,,1
CUST00073,Champions,8,5,4077.07,5,4,5,14,0.0,0.0,0.0,0.154,7,0,1,,0
CUST00074,Loyal Customers,7,4,2523.65,5,4,3,12,1.0,1.0,0.25,0.39,14,22,1,Platinum,0
CUST00075,Champions,3,9,6791.61,5,5,5,15,4.0,1.0,0.0,0.3011111111111111,10,13,0,,0
CUST00076,Needs Nurturing,20,2,1385.27,5,2,2,9,0.0,0.0,0.0,0.22000000000000003,17,8,0,,0
CUST00077,Needs Nurturing,109,1,394.32,2,1,1,4,0.0,0.0,0.0,0.36,0,20,0,,1
CUST00078,At Risk,139,1,894.45,2,1,2,5,1.0,1.0,1.0,0.42,5,38,0,,1
CUST00079,Dormant,191,1,619.57,1,1,1,3,0.0,0.0,0.0,0.05,2,31,0,Silver,1
CUST00080,Loyal Customers,50,3,2563.41,3,3,4,10,0.0,0.0,0.0,0.18999999999999997,11,3,0,Gold,0
CUST00081,Champions,19,8,5311.16,5,5,5,15,3.0,1.0,0.25,0.16,12,0,0,Silver,0
CUST00082,At Risk,254,3,1671.25,1,3,3,7,0.0,0.0,0.0,0.17,7,44,3,,1
CUST00083,At Risk,89,2,806.87,2,2,2,6,1.0,1.0,0.5,0.33499999999999996,9,17,0,,1
CUST00084,At Risk,167,1,1273.18,1,1,2,4,0.0,0.0,0.0,0.12,11,34,1,Silver,1
CUST00085,New Customers,14,1,1257.8,5,1,2,8,0.0,0.0,0.0,0.2,8,0,0,,1
CUST00086,Loyal Customers,21,5,2195.41,4,4,3,11,1.0,1.0,0.0,0.266,7,0,2,Silver,0
CUST00087,New Customers,44,1,933.58,4,1,2,7,0.0,0.0,0.0,0.38,1,15,0,,0
CUST00088,High-Value but Unhappy,98,12,6774.5,2,5,5,12,1.0,1.0,0.0,0.365,9,18,0,Gold,1
CUST00089,At Risk,165,2,2825.75,1,2,4,7,0.0,0.0,0.0,0.25,12,31,3,,1
CUST00090,Loyal Customers,80,4,1966.31,3,4,3,10,1.0,1.0,0.0,0.375,5,36,0,Platinum,0
CUST00091,At Risk,90,4,3726.87,2,4,4,10,1.0,0.0,0.0,0.16499999999999998,9,11,0,Platinum,0
CUST00092,New Customers,21,1,430.85,4,1,1,6,0.0,0.0,0.0,0.26,1,3,0,,0
CUST00093,Needs Nurturing,85,1,759.64,3,1,1,5,0.0,0.0,0.0,0.12,16,21,4,Gold,1
CUST00094,High-Value but Unhappy,183,4,3557.43,1,4,4,9,2.0,1.0,0.0,0.1975,6,60,1,,1
CUST00095,Needs Nurturing,65,1,372.65,3,1,1,5,1.0,1.0,0.0,0.41,10,7,1,,1
CUST00096,Needs Nurturing,61,3,1563.75,3,3,3,9,1.0,1.0,0.3333333333333333,0.37666666666666665,12,15,0,,0
CUST00097,Champions,1,7,4703.46,5,5,5,15,2.0,0.5,0.14285714285714285,0.3685714285714286,0,0,0,,0
CUST00098,At Risk,184,2,1843.57,1,2,3,6,1.0,1.0,0.0,0.195,8,49,0,,1
CUST00099,High-Value but Unhappy,144,5,3410.87,2,4,4,10,1.0,1.0,0.0,0.192,4,27,2,,0
CUST00100,Dormant,70,1,372.37,3,1,1,5,0.0,0.0,0.0,0.29,1,29,0,,0
CUST00101,High-Value but Unhappy,108,5,3514.87,2,4,4,10,2.0,1.0,0.0,0.274,2,27,0,,1
CUST00102,Needs Nurturing,83,1,732.65,3,1,1,5,0.0,0.0,0.0,0.16,2,7,0,,0
CUST00103,New Customers,21,1,1469.96,4,1,2,7,0.0,0.0,0.0,0.08,6,0,1,,0
CUST00104,At Risk,93,1,955.63,2,1,2,5,0.0,0.0,0.0,0.31,3,27,0,,1
CUST00105,New Customers,46,1,2052.43,4,1,3,8,0.0,0.0,0.0,0.18,1,3,0,,0
CUST00106,Loyal Customers,61,7,4352.11,3,5,5,13,1.0,1.0,0.0,0.2814285714285714,5,21,0,,1
CUST00107,Loyal Customers,12,3,3548.15,5,3,4,12,0.0,0.0,0.0,0.11333333333333334,2,10,0,,0
CUST00108,New Customers,44,1,1074.5,4,1,2,7,1.0,1.0,1.0,0.22,5,11,0,,1
CUST00109,At Risk,92,5,3837.05,2,4,4,10,0.0,0.0,0.0,0.332,1,16,1,Silver,0
CUST00110,Champions,35,6,3922.07,4,5,4,13,2.0,1.0,0.0,0.26333333333333336,4,8,0,,1
CUST00111,At Risk,178,1,1135.09,1,1,2,4,0.0,0.0,0.0,0.23,3,33,0,Silver,1
CUST00112,Champions,0,8,5576.25,5,5,5,15,1.0,1.0,0.125,0.23875,4,0,0,,0
CUST00113,Needs Nurturing,28,2,1601.31,4,2,3,9,0.0,0.0,0.0,0.385,17,2,0,Silver,0
CUST00114,High-Value but Unhappy,239,6,5133.53,1,5,5,11,1.0,1.0,0.0,0.265,3,41,1,,1
CUST00115,Dormant,159,1,596.54,1,1,1,3,1.0,1.0,0.0,0.14,12,23,2,Gold,1
CUST00116,At Risk,143,6,5635.9,2,5,5,12,0.0,0.0,0.0,0.18666666666666668,10,26,2,,1
CUST00117,At Risk,123,4,2534.33,2,4,3,9,0.0,0.0,0.0,0.16499999999999998,2,27,0,Silver,1
CUST00118,New Customers,27,1,689.56,4,1,1,6,0.0,0.0,0.0,0.18,2,1,0,Silver,0
CUST00119,Loyal Customers,69,3,2848.36,3,3,4,10,1.0,1.0,0.0,0.3466666666666667,12,1,0,,0
CUST00120,New Customers,26,1,261.95,4,1,1,6,0.0,0.0,0.0,0.27,6,5,0,Silver,0
CUST00121,Needs Nurturing,27,2,2496.0299999999997,4,2,3,9,0.0,0.0,0.0,0.19,5,2,1,Gold,0
CUST00122,At Risk,106,2,2048.93,2,2,3,7,0.0,0.0,0.0,0.36,10,30,4,Gold,1
CUST00123,High-Value but Unhappy,102,6,2989.07,2,5,4,11,3.0,1.0,0.16666666666666666,0.34833333333333333,2,23,0,Silver,0
CUST00124,At Risk,194,4,2570.5,1,4,4,9,0.0,0.0,0.0,0.3375,5,43,0,,1
CUST00125,Needs Nurturing,8,2,1698.4,5,2,3,10,0.0,0.0,0.0,0.395,0,0,1,,0
CUST00126,Needs Nurturing,57,2,1260.02,3,2,2,7,0.0,0.0,0.0,0.43,5,3,0,Silver,1
CUST00127,Needs Nurturing,24,2,729.55,4,2,1,7,0.0,0.0,0.0,0.29500000000000004,3,15,0,Silver,0
CUST00128,Needs Nurturing,19,2,1716.68,5,2,3,10,0.0,0.0,0.0,0.42000000000000004,15,0,0,,0
CUST00129,Loyal Customers,83,3,3369.08,3,3,4,10,2.0,0.0,0.3333333333333333,0.3133333333333333,7,2,0,,0
CUST00130,Discount Sensitive,88,1,1272.47,2,1,2,5,0.0,0.0,0.0,0.48,9,12,0,Gold,0
CUST00131,Loyal Customers,67,6,6830.01,3,5,5,13,0.0,0.0,0.0,0.29,4,14,0,,1
CUST00132,At Risk,117,5,4876.780000000001,2,4,5,11,0.0,0.0,0.0,0.346,1,24,0,,1
CUST00133,Loyal Customers,54,8,5982.58,3,5,5,13,1.0,1.0,0.0,0.3,5,12,1,,0
CUST00134,Champions,35,5,4075.34,4,4,5,13,3.0,0.6666666666666666,0.2,0.292,11,4,0,,0
CUST00135,At Risk,333,4,2534.18,1,4,3,8,0.0,0.0,0.0,0.29000000000000004,3,60,1,,1
CUST00136,Needs Nurturing,71,1,514.9,3,1,1,5,0.0,0.0,0.0,0.3,7,15,0,Gold,1
CUST00137,At Risk,177,2,1035.87,1,2,2,5,0.0,0.0,0.0,0.315,4,31,0,Silver,1
CUST00138,Discount Sensitive,61,1,905.11,3,1,2,6,0.0,0.0,0.0,0.46,5,24,1,,0
CUST00139,Needs Nurturing,28,2,1715.4,4,2,3,9,2.0,1.0,0.0,0.295,5,10,0,,0
CUST00140,Champions,6,4,3768.34,5,4,4,13,2.0,1.0,0.0,0.28250000000000003,14,12,0,,0
CUST00141,New Customers,28,1,647.85,4,1,1,6,0.0,0.0,0.0,0.23,4,0,1,,0
CUST00142,At Risk,169,5,1880.0,1,4,3,8,0.0,0.0,0.0,0.4,2,41,0,,1
CUST00143,Champions,32,6,7407.96,4,5,5,14,0.0,0.0,0.0,0.17333333333333334,5,9,1,Silver,0
CUST00144,High-Value but Unhappy,86,9,6186.54,2,5,5,12,3.0,0.6666666666666666,0.1111111111111111,0.31555555555555553,8,17,2,Gold,0
CUST00145,New Customers,30,1,502.35,4,1,1,6,0.0,0.0,0.0,0.11,0,0,0,,1
CUST00146,High-Value but Unhappy,108,5,5942.68,2,4,5,11,1.0,1.0,0.2,0.188,4,30,1,Silver,0
CUST00147,Loyal Customers,84,3,2809.3199999999997,3,3,4,10,1.0,0.0,0.0,0.18333333333333335,1,29,0,Platinum,0
CUST00148,Champions,4,4,3013.01,5,4,4,13,1.0,1.0,0.0,0.23249999999999998,5,8,1,,0
CUST00149,New Customers,8,1,787.94,5,1,2,8,0.0,0.0,0.0,0.2,8,0,0,,0
CUST00150,Needs Nurturing,45,3,1355.63,4,3,2,9,0.0,0.0,0.0,0.39666666666666667,6,7,2,,0
CUST00151,Loyal Customers,62,7,5530.69,3,5,5,13,3.0,1.0,0.0,0.30428571428571427,7,4,0,,0
CUST00152,Champions,46,7,4989.280000000001,4,5,5,14,4.0,1.0,0.14285714285714285,0.3742857142857143,19,7,3,Silver,0
CUST00153,New Customers,3,1,977.12,5,1,2,8,0.0,0.0,0.0,0.37,6,0,0,Gold,0
CUST00154,Champions,10,8,7145.24,5,5,5,15,0.0,0.0,0.0,0.23375,8,2,0,Gold,0
CUST00155,Loyal Customers,2,3,2024.8,5,3,3,11,0.0,0.0,0.0,0.39666666666666667,6,11,0,,0
CUST00156,High-Value but Unhappy,34,2,4241.75,4,2,5,11,1.0,0.0,0.5,0.14500000000000002,14,0,0,,0
CUST00157,Loyal Customers,0,5,2269.91,5,4,3,12,1.0,1.0,0.0,0.238,3,5,1,,1
CUST00158,At Risk,155,1,812.34,1,1,2,4,0.0,0.0,0.0,0.25,8,32,1,,1
CUST00159,At Risk,474,2,3713.77,1,2,4,7,0.0,0.0,0.0,0.27,0,60,0,Silver,1
CUST00160,At Risk,177,2,1064.66,1,2,2,5,1.0,1.0,0.0,0.28500000000000003,4,37,0,,1
CUST00161,Champions,20,4,4490.9,5,4,5,14,0.0,0.0,0.0,0.2625,7,0,1,Silver,0
CUST00162,At Risk,91,2,1194.5900000000001,2,2,2,6,0.0,0.0,0.0,0.29000000000000004,2,28,0,Gold,1
CUST00163,Needs Nurturing,70,1,275.41,3,1,1,5,0.0,0.0,0.0,0.37,3,19,2,Silver,0
CUST00164,High-Value but Unhappy,222,5,4657.03,1,4,5,10,1.0,1.0,0.0,0.24,1,57,0,Platinum,1
CUST00165,At Risk,103,3,1825.77,2,3,3,8,0.0,0.0,0.0,0.31,2,15,0,Gold,0
CUST00166,New Customers,15,1,1269.41,5,1,2,8,1.0,0.0,0.0,0.37,1,7,0,Silver,0
CUST00167,Dormant,219,1,423.24,1,1,1,3,0.0,0.0,0.0,0.24,0,31,1,,1
CUST00168,Loyal Customers,85,4,4159.16,3,4,5,12,0.0,0.0,0.0,0.1625,2,29,0,Platinum,0
CUST00169,At Risk,222,1,1799.45,1,1,3,5,0.0,0.0,0.0,0.12,1,45,0,Gold,1
CUST00170,Champions,9,10,6759.48,5,5,5,15,1.0,1.0,0.0,0.27,5,0,0,,0
CUST00171,New Customers,12,1,1077.78,5,1,2,8,0.0,0.0,0.0,0.38,9,3,0,,0
CUST00172,Champions,8,7,4910.65,5,5,5,15,3.0,0.6666666666666666,0.0,0.36428571428571427,5,0,2,Silver,0
CUST00173,Needs Nurturing,79,5,1431.69,3,4,2,9,1.0,1.0,0.0,0.384,10,2,0,,0
CUST00174,At Risk,86,6,2361.28,2,5,3,10,2.0,0.5,0.16666666666666666,0.31166666666666665,14,24,0,Gold,0
CUST00175,Loyal Customers,59,4,3568.3199999999997,3,4,4,11,1.0,1.0,0.0,0.225,5,14,0,,1
CUST00176,Loyal Customers,37,3,3830.31,4,3,4,11,0.0,0.0,0.0,0.3433333333333333,12,17,0,,0
CUST00177,Discount Sensitive,82,2,1003.66,3,2,2,7,0.0,0.0,0.0,0.45999999999999996,12,28,0,,0
CUST00178,Champions,5,8,5602.76,5,5,5,15,4.0,1.0,0.25,0.27625,10,0,0,,0
CUST00179,Loyal Customers,38,3,1585.62,4,3,3,10,2.0,0.5,0.0,0.44333333333333336,11,21,2,Silver,0
CUST00180,At Risk,96,2,1570.85,2,2,3,7,1.0,1.0,0.5,0.26,9,18,0,,1
CUST00181,New Customers,6,1,1107.73,5,1,2,8,0.0,0.0,0.0,0.0,7,0,1,Silver,0
CUST00182,New Customers,31,1,305.3,4,1,1,6,0.0,0.0,0.0,0.31,12,0,0,,0
CUST00183,High-Value but Unhappy,152,3,3246.8900000000003,1,3,4,8,1.0,1.0,0.0,0.25,1,26,1,,1
CUST00184,Champions,14,5,5072.85,5,4,5,14,2.0,0.5,0.0,0.27199999999999996,6,6,0,Platinum,1
CUST00185,At Risk,114,7,4179.18,2,5,5,12,0.0,0.0,0.0,0.33428571428571424,11,27,1,,0
CUST00186,New Customers,41,1,714.65,4,1,1,6,1.0,1.0,0.0,0.33,2,5,0,Platinum,0
CUST00187,Discount Sensitive,149,3,1344.75,1,3,2,6,1.0,1.0,0.0,0.5099999999999999,0,17,1,,0
CUST00188,Champions,29,7,5810.17,4,5,5,14,3.0,1.0,0.14285714285714285,0.3085714285714286,11,5,0,Gold,1
CUST00189,High-Value but Unhappy,140,9,5900.65,2,5,5,12,3.0,0.6666666666666666,0.1111111111111111,0.23333333333333334,10,27,0,,0
CUST00190,New Customers,6,1,482.88,5,1,1,7,1.0,1.0,0.0,0.13,6,5,0,,0
CUST00191,New Customers,28,1,149.0,4,1,1,6,0.0,0.0,0.0,0.34,6,11,0,Silver,0
CUST00192,Needs Nurturing,55,3,2263.95,3,3,3,9,0.0,0.0,0.0,0.28,8,30,1,,0
CUST00193,Dormant,157,1,424.74,1,1,1,3,0.0,0.0,0.0,0.21,3,30,2,,1
CUST00194,Loyal Customers,80,5,3878.09,3,4,4,11,3.0,1.0,0.4,0.36,13,3,3,,0
CUST00195,New Customers,23,1,654.27,4,1,1,6,1.0,1.0,0.0,0.17,5,0,0,,0
CUST00196,Needs Nurturing,24,2,1272.38,4,2,2,8,1.0,1.0,0.0,0.28,1,12,0,,1
CUST00197,Champions,15,9,8552.59,5,5,5,15,3.0,1.0,0.0,0.30444444444444446,11,10,0,Silver,0
CUST00198,Champions,37,9,7595.96,4,5,5,14,2.0,1.0,0.0,0.28444444444444444,1,6,1,Silver,0
CUST00199,Champions,6,4,3273.56,5,4,4,13,1.0,1.0,0.0,0.22749999999999998,3,0,0,Silver,0
CUST00200,Champions,15,6,6239.45,5,5,5,15,1.0,1.0,0.0,0.17166666666666666,7,2,4,Gold,0
CUST00201,High-Value but Unhappy,93,7,6691.56,2,5,5,12,2.0,0.5,0.0,0.23857142857142857,3,12,0,,1
CUST00202,At Risk,141,1,1220.26,2,1,2,5,0.0,0.0,0.0,0.33,9,40,1,,0
CUST00203,At Risk,114,2,743.3499999999999,2,2,1,5,0.0,0.0,0.0,0.39,6,28,0,,1
CUST00204,Champions,42,5,2706.75,4,4,4,12,0.0,0.0,0.0,0.284,17,4,0,Platinum,0
CUST00205,Champions,30,5,3202.69,4,4,4,12,0.0,0.0,0.0,0.23399999999999999,13,0,0,,0
CUST00206,High-Value but Unhappy,118,10,6479.7,2,5,5,12,3.0,1.0,0.1,0.265,7,38,2,Gold,1
CUST00207,Discount Sensitive,18,1,193.1,5,1,1,7,0.0,0.0,0.0,0.62,11,7,2,,1
CUST00208,High-Value but Unhappy,91,6,6865.35,2,5,5,12,1.0,1.0,0.0,0.20000000000000004,2,24,1,,1
CUST00209,High-Value but Unhappy,279,5,3422.88,1,4,4,9,1.0,1.0,0.2,0.192,3,46,0,,1
CUST00210,At Risk,128,2,1254.8700000000001,2,2,2,6,0.0,0.0,0.0,0.27,3,38,0,,1
CUST00211,At Risk,90,5,27215.920000000002,2,4,5,11,1.0,1.0,0.0,0.324,4,9,0,,0
CUST00212,At Risk,204,3,2071.6800000000003,1,3,3,7,0.0,0.0,0.0,0.32666666666666666,3,45,1,,1
CUST00213,At Risk,86,2,1680.61,2,2,3,7,2.0,1.0,1.0,0.2,2,15,0,,1
CUST00214,Needs Nurturing,64,1,1427.16,3,1,2,6,0.0,0.0,0.0,0.22,3,14,0,,1
CUST00215,Loyal Customers,34,3,1564.1,4,3,3,10,1.0,1.0,0.0,0.19666666666666666,8,15,2,Silver,1
CUST00216,New Customers,48,1,1349.42,3,1,2,6,1.0,1.0,1.0,0.27,7,16,0,Silver,1
CUST00217,Needs Nurturing,79,3,1179.94,3,3,2,8,0.0,0.0,0.0,0.35333333333333333,2,13,0,Silver,1
CUST00218,Needs Nurturing,23,2,1492.68,4,2,2,8,0.0,0.0,0.0,0.13,1,5,0,,0
CUST00219,High-Value but Unhappy,154,6,2782.79,1,5,4,10,1.0,1.0,0.0,0.36166666666666664,3,30,1,Silver,1
CUST00220,Needs Nurturing,25,3,1450.4099999999999,4,3,2,9,1.0,0.0,0.0,0.21666666666666667,14,10,2,,0
CUST00221,Needs Nurturing,7,2,781.03,5,2,2,9,0.0,0.0,0.0,0.345,16,2,2,,0
CUST00222,Discount Sensitive,186,2,1259.5,1,2,2,5,1.0,1.0,0.0,0.45,1,22,0,,1
CUST00223,Discount Sensitive,103,1,757.58,2,1,1,4,1.0,1.0,0.0,0.53,1,20,0,Silver,1
CUST00224,At Risk,89,2,1839.95,2,2,3,7,1.0,1.0,0.5,0.32,1,13,1,,0
CUST00225,At Risk,88,3,3012.6,2,3,4,9,0.0,0.0,0.0,0.32,3,19,0,Silver,1
CUST00226,Needs Nurturing,54,3,2345.42,3,3,3,9,1.0,1.0,0.3333333333333333,0.15666666666666668,6,34,0,Silver,0
CUST00227,High-Value but Unhappy,153,6,4383.02,1,5,5,11,2.0,1.0,0.16666666666666666,0.2816666666666667,0,29,0,Silver,1
CUST00228,Loyal Customers,82,7,4150.72,3,5,5,13,2.0,1.0,0.14285714285714285,0.33428571428571424,6,11,2,Silver,1
CUST00229,At Risk,92,5,3077.41,2,4,4,10,1.0,0.0,0.0,0.304,8,8,0,Silver,1
CUST00230,Champions,37,8,7503.74,4,5,5,14,2.0,0.0,0.0,0.2175,17,14,1,,0
CUST00231,Loyal Customers,23,3,1558.41,4,3,3,10,0.0,0.0,0.0,0.19333333333333333,6,0,0,,0
CUST00232,New Customers,55,1,786.26,3,1,2,6,0.0,0.0,0.0,0.33,2,1,0,,0
CUST00233,At Risk,361,3,1626.9899999999998,1,3,3,7,0.0,0.0,0.0,0.2866666666666667,5,60,1,,1
CUST00234,Loyal Customers,17,4,2458.9700000000003,5,4,3,12,0.0,0.0,0.0,0.195,6,0,0,,0
CUST00235,At Risk,125,4,2278.82,2,4,3,9,0.0,0.0,0.0,0.225,2,29,0,,0
